,lat,long,tipo
0,-34.635750180342995,-58.3989275853601,subte
1,-34.6293756575728,-58.400969556016506,subte
2,-34.6230923205019,-58.402322730424004,subte
3,-34.6152421522706,-58.404731716490005,subte
4,-34.6089352416215,-58.40603638103521,subte
5,-34.6042452029629,-58.3805743428896,subte
6,-34.5997570807639,-58.397923755573395,subte
7,-34.6015871651394,-58.385142358801296,subte
8,-34.5916278437199,-58.40716132018989,subte
9,-34.5851559440493,-58.4159554190067,subte
10,-34.581411193604495,-58.4211960101264,subte
11,-34.5784220227904,-58.4257114411123,subte
12,-34.5911938083332,-58.3740182164816,subte
13,-34.601769923011396,-58.3781557828244,subte
14,-34.604843739913996,-58.3795299800739,subte
15,-34.6089833148827,-58.3806107179579,subte
16,-34.6126172798037,-58.38044446966,subte
17,-34.6181255992933,-58.380173610475204,subte
18,-34.6276194522548,-58.381434433934295,subte
19,-34.603297285577504,-58.375071518263596,subte
20,-34.6036371051817,-58.380714847140894,subte
21,-34.6040935531057,-58.387296133540794,subte
22,-34.604419542860796,-58.392314235088705,subte
23,-34.604642967919304,-58.399474256679,subte
24,-34.6045810553512,-58.4053994398434,subte
25,-34.6040795173475,-58.4117625996321,subte
26,-34.6031649010973,-58.4209624702706,subte
27,-34.602162229342696,-58.4312738603246,subte
28,-34.5989673641588,-58.439771498415496,subte
29,-34.5917181536198,-58.4475730925312,subte
30,-34.6085590738532,-58.374267726430396,subte
31,-34.608881721215,-58.3790851530908,subte
32,-34.6090998065519,-58.38223240101811,subte
33,-34.6094125865027,-58.386777194087294,subte
34,-34.6092256843174,-58.392668824664796,subte
35,-34.6096459617052,-58.39842699181229,subte
36,-34.609833578439805,-58.401207534232995,subte
37,-34.6098172456706,-58.4067071165088,subte
38,-34.610781690450395,-58.415185708837605,subte
39,-34.6117702291255,-58.4218156713706,subte
40,-34.6152056103312,-58.429500323299706,subte
41,-34.6182799671446,-58.4364285288493,subte
42,-34.6204052128589,-58.4411776251109,subte
43,-34.6092424288608,-58.3736842241685,subte
44,-34.6128491058186,-58.377580886540606,subte
45,-34.6179373939772,-58.38153494171221,subte
46,-34.6223394919367,-58.38514854962379,subte
47,-34.6227196661278,-58.3915116999715,subte
48,-34.6231098657791,-58.3970680746626,subte
49,-34.6238657115835,-58.4029365802561,subte
50,-34.6246537864662,-58.409390783443605,subte
51,-34.6280175487742,-58.433816250239495,subte
52,-34.6310418421655,-58.442170705965204,subte
53,-34.5882371084182,-58.411293901393606,subte
54,-34.5944257186285,-58.40239534253511,subte
55,-34.599639552419,-58.3931251809727,subte
56,-34.5950574047792,-58.3778190509867,subte
57,-34.6219167322081,-58.3799211788651,subte
58,-34.6363891893858,-58.4502782563709,subte
